floor_id,name,type,geometry_type,geometry_wkt,area_sq_m,elevation_m,notes
1,Server Room 101,SERVER_ROOM,POLYGON,"POLYGON((0 0, 10 0, 10 8, 0 8, 0 0))",80.00,0.00,Main server room on ground floor - needs cooling
1,Network Closet 102,NETWORK_CLOSET,POLYGON,"POLYGON((10 0, 14 0, 14 4, 10 4, 10 0))",16.00,0.00,IDF closet near elevator shaft
1,Lobby,COMMON_AREA,POLYGON,"POLYGON((0 8, 20 8, 20 18, 0 18, 0 8))",200.00,0.00,Main entrance lobby - public Wi-Fi zone
1,Apartment 101,RESIDENTIAL_UNIT,POLYGON,"POLYGON((20 0, 35 0, 35 12, 20 12, 20 0))",180.00,0.00,2BHK unit - eastern wing
1,Apartment 102,RESIDENTIAL_UNIT,POLYGON,"POLYGON((35 0, 50 0, 50 12, 35 12, 35 0))",180.00,0.00,2BHK unit - eastern wing
1,Apartment 103,RESIDENTIAL_UNIT,POLYGON,"POLYGON((50 0, 65 0, 65 12, 50 12, 50 0))",180.00,0.00,2BHK unit - eastern wing
1,Gym,AMENITY,POLYGON,"POLYGON((0 18, 15 18, 15 30, 0 30, 0 18))",195.00,0.00,Residents gym - dense device area
1,Corridor A,CORRIDOR,POLYGON,"POLYGON((15 0, 20 0, 20 30, 15 30, 15 0))",150.00,0.00,Main east-west corridor ground floor
2,Apartment 201,RESIDENTIAL_UNIT,POLYGON,"POLYGON((0 0, 15 0, 15 12, 0 12, 0 0))",180.00,3.20,2BHK unit - west wing
2,Apartment 202,RESIDENTIAL_UNIT,POLYGON,"POLYGON((15 0, 30 0, 30 12, 15 12, 15 0))",180.00,3.20,2BHK unit - west wing
2,Apartment 203,RESIDENTIAL_UNIT,POLYGON,"POLYGON((30 0, 45 0, 45 12, 30 12, 30 0))",180.00,3.20,Studio unit - west wing
2,Apartment 204,RESIDENTIAL_UNIT,POLYGON,"POLYGON((45 0, 60 0, 60 12, 45 12, 45 0))",180.00,3.20,Studio unit - west wing
2,IDF Closet 201,NETWORK_CLOSET,POLYGON,"POLYGON((60 0, 65 0, 65 6, 60 6, 60 0))",30.00,3.20,Second floor IDF - feeds east wing
2,Corridor B,CORRIDOR,POLYGON,"POLYGON((0 12, 65 12, 65 14, 0 14, 0 12))",130.00,3.20,Second floor main corridor
3,Apartment 301,RESIDENTIAL_UNIT,POLYGON,"POLYGON((0 0, 15 0, 15 12, 0 12, 0 0))",180.00,6.40,3BHK unit - penthouse wing
3,Apartment 302,RESIDENTIAL_UNIT,POLYGON,"POLYGON((15 0, 35 0, 35 12, 15 12, 15 0))",240.00,6.40,3BHK unit - penthouse wing
3,Terrace,OUTDOOR,POLYGON,"POLYGON((35 0, 65 0, 65 20, 35 20, 35 0))",600.00,6.40,Rooftop terrace - outdoor AP needed
3,MDF Room,MDF_ROOM,POLYGON,"POLYGON((0 12, 10 12, 10 20, 0 20, 0 12))",80.00,6.40,Main distribution frame room - top floor
3,Corridor C,CORRIDOR,POLYGON,"POLYGON((0 20, 35 20, 35 22, 0 22, 0 20))",70.00,6.40,Third floor corridor
